Date,Close,High,Low,Open,Volume,ema_5,sma_5,ema_10,sma_10,ema_20,sma_20,return_1d,return_5d,rsi_14
2025-01-15,5949.91015625,5960.60986328125,5905.2099609375,5905.2099609375,4544570000,5892.455120547871,5874.86611328125,5902.466479828307,5895.139013671875,5926.814455284076,5933.782495117188,0.018312792279639112,0.006918288209757151,51.427866426454734
2025-01-16,5937.33984375,5964.68994140625,5930.72021484375,5963.60986328125,4285810000,5907.416694948581,5878.68408203125,5908.807091450432,5900.710009765625,5927.8168732332115,5926.945483398437,-0.0021126894641922966,0.003225589278925467,50.2922952683006
2025-01-17,5996.66015625,6014.9599609375,5978.43994140625,5995.39990234375,4366830000,5937.164515382387,5912.60810546875,5924.780375959444,5913.521044921875,5934.373376377667,5924.247998046875,0.009991058969353706,0.029109138782370536,55.30754015777468
2025-01-21,6049.240234375,6051.509765625,6006.8798828125,6014.1201171875,4702920000,5974.523088379925,5955.212109375,5947.409441125908,5924.198046875,5945.313077139318,5933.102001953125,0.008768227105582893,0.036499654175052854,59.23373491257976
2025-01-22,6086.3701171875,6100.81005859375,6076.1298828125,6081.39013671875,4323040000,6011.805431315784,6003.9041015625,5972.675018591652,5935.2970703125,5958.747080953431,5944.06650390625,0.006137941522227575,0.041667585916425054,61.78666849721671
2025-01-23,6118.7099609375,6118.72998046875,6074.669921875,6076.31982421875,4432250000,6047.440274523023,6037.6640625,5999.2268262908965,5956.265087890625,5973.9816409519135,5953.459497070313,0.00531348622041139,0.028370143456735386,63.906800937823604
2025-01-24,6101.240234375,6128.18017578125,6088.740234375,6121.43017578125,4214250000,6065.373594473682,6070.444140625,6017.774718669824,5974.564111328125,5986.101506992208,5959.818017578125,-0.002855132319398823,0.027605020924906576,61.90863214704897
2025-01-27,6012.27978515625,6017.169921875,5962.919921875,5969.0400390625,5198750000,6047.675658034538,6073.56806640625,6016.775639849174,5993.0880859375,5988.594676341164,5958.430004882813,-0.014580715690809543,0.0026047213781108525,52.847097125628544
2025-01-28,6067.7001953125,6074.5400390625,5994.6298828125,6026.97021484375,4473640000,6054.350503793859,6077.26005859375,6026.0346499334155,6016.236083984375,5996.128535290814,5959.935522460937,0.009217869449967608,0.0030516164381437783,57.06343418689976
2025-01-29,6039.31005859375,6062.830078125,6012.9599609375,6057.7001953125,4115310000,6049.33702206049,6067.848046875,6028.448360598931,6035.87607421875,6000.241061319666,5963.359033203125,-0.004678895760321544,-0.007732040228847659,54.38083851802977
2025-01-30,6071.169921875,6086.64013671875,6027.4599609375,6050.75,4634620000,6056.614655331994,6058.3400390625,6036.215917194579,6048.00205078125,6006.996190896365,5971.570532226562,0.005275414405311762,-0.007769618002160694,56.83332712023952
2025-01-31,6040.52978515625,6120.91015625,6030.93017578125,6096.7900390625,4843770000,6051.253031940079,6046.19794921875,6037.000256823973,6058.321044921875,6010.189866540164,5979.51552734375,-0.005046825754019935,-0.00995050954996024,53.83580507521397
2025-02-03,5994.56982421875,6022.1298828125,5923.93017578125,5969.64990234375,4797210000,6032.358629366303,6042.65595703125,6029.2856327139325,6058.11201171875,6008.702243461934,5985.8165283203125,-0.007608597684666707,-0.00294563153584837,49.609168669702996
2025-02-04,6037.8798828125,6042.47998046875,5990.8701171875,5998.14013671875,4410160000,6034.199047181703,6036.69189453125,6030.848223640944,6056.9759765625,6011.481066257226,5990.58701171875,0.007224881828679752,-0.004914598866146536,53.32774155221142
